Time	Headset_on	CE_Pos	CE_Rot	LE_Pos	LE_Rot	RE_Pos	RE_Rot	LH_Pos	LH_Rot	RH_Pos	RH_Rot	Menu_Exists	Menu_Bounds	Menu_SM_Bounds	Menu_Page_Viewed	Menu_Panel_Viewed	Model_Name	Model_Centre	Model_Size	Preview_Name	Preview_Corners	
2.390173	0	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
2.392972	0	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
2.449697	0	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 1.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	(0.00, 0.00, 0.00)	(0.00000, 0.00000, 0.00000, 0.00000)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.526328	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.528059	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.528239	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.528392	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.52857	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.528699	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.528827	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.52895	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.529081	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.529211	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.529332	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.52948	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.529613	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.529733	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.529856	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.529976	1	(-0.12, 1.76, 0.54)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.15, 1.77, 0.55)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.09, 1.76, 0.53)	(-0.07272, 0.15584, -0.04783, 0.98394)	(-0.29, 1.33, 0.76)	(-0.21947, -0.09221, -0.40244, -0.88395)	(0.00, 1.34, 0.72)	(-0.05675, 0.07212, 0.45532, -0.88558)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.559406	1	(-0.12, 1.76, 0.54)	(-0.06986, 0.14268, -0.04543, 0.98625)	(-0.15, 1.77, 0.55)	(-0.06986, 0.14268, -0.04543, 0.98625)	(-0.10, 1.76, 0.53)	(-0.06986, 0.14268, -0.04543, 0.98625)	(-0.28, 1.33, 0.76)	(-0.22487, -0.11018, -0.40182, -0.88081)	(-0.01, 1.33, 0.72)	(-0.07110, 0.07032, 0.43651, -0.89412)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.559626	1	(-0.12, 1.76, 0.54)	(-0.06986, 0.14268, -0.04543, 0.98625)	(-0.15, 1.77, 0.55)	(-0.06986, 0.14268, -0.04543, 0.98625)	(-0.10, 1.76, 0.53)	(-0.06986, 0.14268, -0.04543, 0.98625)	(-0.28, 1.33, 0.76)	(-0.22487, -0.11018, -0.40182, -0.88081)	(-0.01, 1.33, 0.72)	(-0.07110, 0.07032, 0.43651, -0.89412)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.582514	1	(-0.13, 1.76, 0.54)	(-0.06796, 0.12974, -0.04640, 0.98813)	(-0.16, 1.77, 0.55)	(-0.06796, 0.12974, -0.04640, 0.98813)	(-0.10, 1.76, 0.54)	(-0.06796, 0.12974, -0.04640, 0.98813)	(-0.27, 1.33, 0.75)	(-0.24045, -0.13704, -0.39519, -0.87592)	(-0.01, 1.33, 0.72)	(-0.08507, 0.06855, 0.41947, -0.90117)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.605313	1	(-0.13, 1.76, 0.54)	(-0.06708, 0.12747, -0.05001, 0.98831)	(-0.16, 1.77, 0.55)	(-0.06708, 0.12747, -0.05001, 0.98831)	(-0.10, 1.76, 0.54)	(-0.06708, 0.12747, -0.05001, 0.98831)	(-0.26, 1.33, 0.75)	(-0.24832, -0.14529, -0.38689, -0.87610)	(-0.01, 1.33, 0.73)	(-0.08791, 0.07200, 0.42732, -0.89693)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.628435	1	(-0.13, 1.76, 0.55)	(-0.06531, 0.12832, -0.05355, 0.98813)	(-0.16, 1.77, 0.55)	(-0.06531, 0.12832, -0.05355, 0.98813)	(-0.10, 1.76, 0.54)	(-0.06531, 0.12832, -0.05355, 0.98813)	(-0.26, 1.32, 0.75)	(-0.24466, -0.14609, -0.39058, -0.87535)	(-0.02, 1.33, 0.73)	(-0.09535, 0.07469, 0.43441, -0.89253)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.63985	1	(-0.13, 1.76, 0.55)	(-0.06463, 0.12999, -0.05528, 0.98786)	(-0.16, 1.77, 0.55)	(-0.06463, 0.12999, -0.05528, 0.98786)	(-0.10, 1.76, 0.54)	(-0.06463, 0.12999, -0.05528, 0.98786)	(-0.26, 1.32, 0.75)	(-0.24292, -0.14647, -0.39607, -0.87331)	(-0.02, 1.33, 0.73)	(-0.09918, 0.07507, 0.43594, -0.89134)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.662622	1	(-0.13, 1.76, 0.55)	(-0.06298, 0.13489, -0.05849, 0.98713)	(-0.16, 1.77, 0.55)	(-0.06298, 0.13489, -0.05849, 0.98713)	(-0.10, 1.76, 0.54)	(-0.06298, 0.13489, -0.05849, 0.98713)	(-0.26, 1.32, 0.75)	(-0.24316, -0.14724, -0.41083, -0.86626)	(-0.02, 1.32, 0.73)	(-0.10738, 0.07297, 0.43745, -0.88982)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.685258	1	(-0.13, 1.76, 0.55)	(-0.05978, 0.14310, -0.06098, 0.98602)	(-0.16, 1.76, 0.56)	(-0.05978, 0.14310, -0.06098, 0.98602)	(-0.10, 1.76, 0.54)	(-0.05978, 0.14310, -0.06098, 0.98602)	(-0.26, 1.32, 0.75)	(-0.24521, -0.14556, -0.42491, -0.85915)	(-0.02, 1.32, 0.73)	(-0.11414, 0.06922, 0.43872, -0.88865)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.707846	1	(-0.13, 1.76, 0.55)	(-0.05740, 0.15314, -0.06212, 0.98458)	(-0.15, 1.76, 0.56)	(-0.05740, 0.15314, -0.06212, 0.98458)	(-0.10, 1.76, 0.54)	(-0.05740, 0.15314, -0.06212, 0.98458)	(-0.26, 1.32, 0.75)	(-0.24445, -0.14220, -0.43628, -0.85421)	(-0.02, 1.32, 0.73)	(-0.12342, 0.06322, 0.44240, -0.88603)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.718952	1	(-0.13, 1.76, 0.55)	(-0.05583, 0.15811, -0.06200, 0.98389)	(-0.15, 1.76, 0.56)	(-0.05583, 0.15811, -0.06200, 0.98389)	(-0.10, 1.76, 0.54)	(-0.05583, 0.15811, -0.06200, 0.98389)	(-0.26, 1.32, 0.75)	(-0.24267, -0.13994, -0.44107, -0.85264)	(-0.02, 1.32, 0.73)	(-0.12831, 0.06036, 0.44574, -0.88386)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.741354	1	(-0.12, 1.76, 0.55)	(-0.05191, 0.16768, -0.06096, 0.98259)	(-0.15, 1.76, 0.56)	(-0.05191, 0.16768, -0.06096, 0.98259)	(-0.10, 1.75, 0.54)	(-0.05191, 0.16768, -0.06096, 0.98259)	(-0.26, 1.32, 0.76)	(-0.24041, -0.13620, -0.45178, -0.84826)	(-0.02, 1.32, 0.74)	(-0.13839, 0.05551, 0.45196, -0.87949)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
3.763739	1	(-0.12, 1.76, 0.55)	(-0.04691, 0.17519, -0.05884, 0.98165)	(-0.15, 1.76, 0.56)	(-0.04691, 0.17519, -0.05884, 0.98165)	(-0.10, 1.75, 0.54)	(-0.04691, 0.17519, -0.05884, 0.98165)	(-0.26, 1.32, 0.76)	(-0.24231, -0.13140, -0.46084, -0.84359)	(-0.02, 1.32, 0.74)	(-0.14638, 0.05069, 0.45671, -0.87602)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
