Time	Headset_on	CE_Pos	CE_Rot	LE_Pos	LE_Rot	RE_Pos	RE_Rot	LH_Pos	LH_Rot	RH_Pos	RH_Rot	Menu_Exists	Menu_Bounds	Menu_SM_Bounds	Menu_Page_Viewed	Menu_Panel_Viewed	Model_Name	Model_Centre	Model_Size	Preview_Name	Preview_Corners	
8.020723	1	(-0.05, 1.69, 0.44)	(-0.25363, 0.03220, -0.00365, -0.96676)	(-0.08, 1.69, 0.44)	(-0.25363, 0.03220, -0.00365, -0.96676)	(-0.02, 1.69, 0.44)	(-0.25363, 0.03220, -0.00365, -0.96676)	(-0.19, 1.10, 0.56)	(-0.10935, 0.06638, 0.03421, -0.99119)	(0.21, 0.89, 0.47)	(-0.48339, 0.03045, -0.14555, -0.86268)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
8.043864	1	(-0.05, 1.69, 0.44)	(-0.25214, 0.03238, -0.00291, -0.96715)	(-0.08, 1.70, 0.44)	(-0.25214, 0.03238, -0.00291, -0.96715)	(-0.02, 1.69, 0.44)	(-0.25214, 0.03238, -0.00291, -0.96715)	(-0.19, 1.10, 0.56)	(-0.10944, 0.06636, 0.03459, -0.99117)	(0.21, 0.89, 0.47)	(-0.48303, 0.03119, -0.14545, -0.86287)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
8.054657	1	(-0.05, 1.69, 0.44)	(-0.25197, 0.03219, -0.00259, -0.96720)	(-0.08, 1.70, 0.44)	(-0.25197, 0.03219, -0.00259, -0.96720)	(-0.02, 1.69, 0.44)	(-0.25197, 0.03219, -0.00259, -0.96720)	(-0.19, 1.10, 0.56)	(-0.10940, 0.06633, 0.03475, -0.99117)	(0.21, 0.89, 0.47)	(-0.48295, 0.03132, -0.14539, -0.86293)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
8.076328	1	(-0.05, 1.70, 0.44)	(-0.25154, 0.03193, -0.00235, -0.96732)	(-0.08, 1.70, 0.44)	(-0.25154, 0.03193, -0.00235, -0.96732)	(-0.02, 1.69, 0.44)	(-0.25154, 0.03193, -0.00235, -0.96732)	(-0.19, 1.10, 0.56)	(-0.10937, 0.06601, 0.03531, -0.99118)	(0.21, 0.89, 0.47)	(-0.48276, 0.03161, -0.14538, -0.86302)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
8.098037	1	(-0.05, 1.70, 0.44)	(-0.25078, 0.03175, -0.00205, -0.96752)	(-0.08, 1.70, 0.44)	(-0.25078, 0.03175, -0.00205, -0.96752)	(-0.02, 1.69, 0.44)	(-0.25078, 0.03175, -0.00205, -0.96752)	(-0.19, 1.10, 0.56)	(-0.10937, 0.06568, 0.03563, -0.99119)	(0.21, 0.89, 0.47)	(-0.48259, 0.03194, -0.14534, -0.86311)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
8.108951	1	(-0.05, 1.70, 0.44)	(-0.25030, 0.03185, -0.00173, -0.96764)	(-0.08, 1.70, 0.44)	(-0.25030, 0.03185, -0.00173, -0.96764)	(-0.02, 1.69, 0.44)	(-0.25030, 0.03185, -0.00173, -0.96764)	(-0.19, 1.10, 0.55)	(-0.10927, 0.06560, 0.03572, -0.99120)	(0.21, 0.89, 0.47)	(-0.48253, 0.03202, -0.14529, -0.86315)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
8.130833	1	(-0.05, 1.70, 0.44)	(-0.24986, 0.03169, -0.00174, -0.96776)	(-0.08, 1.70, 0.44)	(-0.24986, 0.03169, -0.00174, -0.96776)	(-0.02, 1.70, 0.44)	(-0.24986, 0.03169, -0.00174, -0.96776)	(-0.19, 1.10, 0.55)	(-0.10909, 0.06561, 0.03584, -0.99122)	(0.21, 0.89, 0.47)	(-0.48237, 0.03220, -0.14516, -0.86326)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
8.152806	1	(-0.05, 1.70, 0.44)	(-0.24863, 0.03131, -0.00129, -0.96809)	(-0.08, 1.70, 0.44)	(-0.24863, 0.03131, -0.00129, -0.96809)	(-0.02, 1.70, 0.44)	(-0.24863, 0.03131, -0.00129, -0.96809)	(-0.19, 1.10, 0.55)	(-0.10898, 0.06549, 0.03597, -0.99123)	(0.21, 0.89, 0.47)	(-0.48217, 0.03224, -0.14513, -0.86337)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
8.174837	1	(-0.05, 1.70, 0.44)	(-0.24844, 0.03127, -0.00110, -0.96814)	(-0.08, 1.70, 0.43)	(-0.24844, 0.03127, -0.00110, -0.96814)	(-0.02, 1.70, 0.44)	(-0.24844, 0.03127, -0.00110, -0.96814)	(-0.19, 1.10, 0.55)	(-0.10895, 0.06530, 0.03617, -0.99124)	(0.21, 0.89, 0.47)	(-0.48199, 0.03222, -0.14515, -0.86347)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
8.196898	1	(-0.05, 1.70, 0.44)	(-0.24744, 0.03090, -0.00076, -0.96841)	(-0.08, 1.70, 0.43)	(-0.24744, 0.03090, -0.00076, -0.96841)	(-0.02, 1.70, 0.44)	(-0.24744, 0.03090, -0.00076, -0.96841)	(-0.19, 1.10, 0.55)	(-0.10888, 0.06491, 0.03630, -0.99127)	(0.21, 0.89, 0.47)	(-0.48183, 0.03214, -0.14525, -0.86355)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
