Time	Headset_on	CE_Pos	CE_Rot	LE_Pos	LE_Rot	RE_Pos	RE_Rot	LH_Pos	LH_Rot	RH_Pos	RH_Rot	Menu_Exists	Menu_Bounds	Menu_SM_Bounds	Menu_Page_Viewed	Menu_Panel_Viewed	Model_Name	Model_Centre	Model_Size	Preview_Name	Preview_Corners	
7.407545	1	(-0.07, 1.67, 0.62)	(-0.29752, 0.10195, -0.01277, -0.94917)	(-0.10, 1.67, 0.61)	(-0.29752, 0.10195, -0.01277, -0.94917)	(-0.04, 1.67, 0.62)	(-0.29752, 0.10195, -0.01277, -0.94917)	(-0.20, 1.17, 0.72)	(-0.19162, 0.12914, -0.04608, -0.97184)	(0.10, 1.34, 0.78)	(-0.08150, 0.09854, 0.16928, -0.97724)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
7.430816	1	(-0.07, 1.67, 0.62)	(-0.29754, 0.10203, -0.01271, -0.94916)	(-0.10, 1.67, 0.61)	(-0.29754, 0.10203, -0.01271, -0.94916)	(-0.04, 1.67, 0.62)	(-0.29754, 0.10203, -0.01271, -0.94916)	(-0.20, 1.17, 0.72)	(-0.19103, 0.12945, -0.04574, -0.97194)	(0.10, 1.34, 0.78)	(-0.08157, 0.09860, 0.16937, -0.97721)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
7.440965	1	(-0.07, 1.67, 0.62)	(-0.29751, 0.10203, -0.01268, -0.94917)	(-0.10, 1.67, 0.61)	(-0.29751, 0.10203, -0.01268, -0.94917)	(-0.04, 1.67, 0.62)	(-0.29751, 0.10203, -0.01268, -0.94917)	(-0.20, 1.17, 0.72)	(-0.19062, 0.12957, -0.04507, -0.97203)	(0.10, 1.34, 0.78)	(-0.08159, 0.09862, 0.16940, -0.97720)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
7.462607	1	(-0.07, 1.67, 0.62)	(-0.29749, 0.10204, -0.01257, -0.94917)	(-0.10, 1.67, 0.61)	(-0.29749, 0.10204, -0.01257, -0.94917)	(-0.04, 1.67, 0.62)	(-0.29749, 0.10204, -0.01257, -0.94917)	(-0.20, 1.17, 0.72)	(-0.18965, 0.13054, -0.04306, -0.97218)	(0.10, 1.34, 0.78)	(-0.08160, 0.09866, 0.16933, -0.97721)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
7.484288	1	(-0.07, 1.67, 0.62)	(-0.29745, 0.10209, -0.01251, -0.94918)	(-0.10, 1.67, 0.61)	(-0.29745, 0.10209, -0.01251, -0.94918)	(-0.04, 1.67, 0.62)	(-0.29745, 0.10209, -0.01251, -0.94918)	(-0.20, 1.17, 0.72)	(-0.18917, 0.13231, -0.04214, -0.97208)	(0.10, 1.34, 0.78)	(-0.08160, 0.09875, 0.16928, -0.97721)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
7.506143	1	(-0.07, 1.67, 0.62)	(-0.29754, 0.10212, -0.01241, -0.94915)	(-0.10, 1.67, 0.61)	(-0.29754, 0.10212, -0.01241, -0.94915)	(-0.04, 1.67, 0.62)	(-0.29754, 0.10212, -0.01241, -0.94915)	(-0.20, 1.17, 0.72)	(-0.18917, 0.13280, -0.04251, -0.97199)	(0.10, 1.34, 0.78)	(-0.08165, 0.09875, 0.16945, -0.97717)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
7.528056	1	(-0.07, 1.67, 0.62)	(-0.29739, 0.10213, -0.01243, -0.94920)	(-0.10, 1.67, 0.61)	(-0.29739, 0.10213, -0.01243, -0.94920)	(-0.04, 1.67, 0.62)	(-0.29739, 0.10213, -0.01243, -0.94920)	(-0.20, 1.17, 0.72)	(-0.18913, 0.13356, -0.04237, -0.97190)	(0.10, 1.34, 0.78)	(-0.08170, 0.09869, 0.16961, -0.97715)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
7.550041	1	(-0.07, 1.67, 0.62)	(-0.29711, 0.10219, -0.01230, -0.94928)	(-0.10, 1.67, 0.61)	(-0.29711, 0.10219, -0.01230, -0.94928)	(-0.04, 1.67, 0.62)	(-0.29711, 0.10219, -0.01230, -0.94928)	(-0.20, 1.17, 0.72)	(-0.18859, 0.13490, -0.04217, -0.97183)	(0.10, 1.34, 0.78)	(-0.08163, 0.09874, 0.16972, -0.97713)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
7.561054	1	(-0.07, 1.67, 0.62)	(-0.29719, 0.10222, -0.01227, -0.94925)	(-0.10, 1.67, 0.61)	(-0.29719, 0.10222, -0.01227, -0.94925)	(-0.04, 1.67, 0.62)	(-0.29719, 0.10222, -0.01227, -0.94925)	(-0.20, 1.18, 0.72)	(-0.18815, 0.13599, -0.04187, -0.97178)	(0.10, 1.34, 0.78)	(-0.08161, 0.09877, 0.16973, -0.97712)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
7.58307	1	(-0.07, 1.67, 0.62)	(-0.29691, 0.10227, -0.01210, -0.94933)	(-0.10, 1.67, 0.61)	(-0.29691, 0.10227, -0.01210, -0.94933)	(-0.04, 1.67, 0.62)	(-0.29691, 0.10227, -0.01210, -0.94933)	(-0.20, 1.18, 0.72)	(-0.18781, 0.13740, -0.04195, -0.97164)	(0.10, 1.34, 0.78)	(-0.08164, 0.09885, 0.16978, -0.97711)	0,0,0,0	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)				(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),(0.00, 0.00, 0.00)	
